algorithm,exactDepth,caseCount,canonicalBucketSize,coverageFraction,meanNodesExpanded,medianNodesExpanded,minNodesExpanded,maxNodesExpanded,Q1NodesExpanded,Q3NodesExpanded,iqrNodesExpanded,meanNodesGenerated,medianNodesGenerated,minNodesGenerated,maxNodesGenerated,Q1NodesGenerated,Q3NodesGenerated,iqrNodesGenerated,pairedExpandedRatioCaseCount,medianReductionFactorExpanded,Q1ReductionFactorExpanded,Q3ReductionFactorExpanded,iqrReductionFactorExpanded,pairedGeneratedRatioCaseCount,medianReductionFactorGenerated,Q1ReductionFactorGenerated,Q3ReductionFactorGenerated,iqrReductionFactorGenerated
BFS,1,12,12,1,6.5,6.5,1,12,3.5,9.5,6,78,78,12,144,42,114,72,,,,,,,,,,
BIDIRECTIONAL_BFS,1,12,12,1,1,1,1,1,1,1,0,12,12,12,12,12,12,0,12,6.5,3.5,9.5,6,12,6.5,3.5,9.5,6
IDA_STAR,1,12,12,1,1,1,1,1,1,1,0,12,12,12,12,12,12,0,12,6.5,3.5,9.5,6,12,6.5,3.5,9.5,6
BFS,2,30,111,0.2702702702702703,69.7,72.5,16,119,42,100,58,836.4,870,192,1428,504,1200,696,,,,,,,,,,
BIDIRECTIONAL_BFS,2,30,111,0.2702702702702703,2,2,2,2,2,2,0,24,24,24,24,24,24,0,30,36.25,21,50,29,30,36.25,21,50,29
IDA_STAR,2,30,111,0.2702702702702703,2,2,2,2,2,2,0,24,24,24,24,24,24,0,30,36.25,21,50,29,30,36.25,21,50,29
BFS,3,30,822,0.0364963503649635,474.8,396,134,944,243,745,502,5697.6,4752,1608,11328,2916,8940,6024,,,,,,,,,,
BIDIRECTIONAL_BFS,3,30,822,0.0364963503649635,14,14,14,14,14,14,0,168,168,168,168,168,168,0,30,28.285714285714285,17.357142857142858,53.214285714285715,35.85714285714286,30,28.285714285714285,17.357142857142858,53.214285714285715,35.85714285714286
IDA_STAR,3,30,822,0.0364963503649635,3,3,3,3,3,3,0,36,36,36,36,36,36,0,30,132,81,248.33333333333334,167.33333333333334,30,132,81,248.33333333333334,167.33333333333334
BFS,4,30,3863,0.007765984985762361,3082.4333333333334,2870.5,976,4751,1884,4433,2549,36989.2,34446,11712,57012,22608,53196,30588,,,,,,,,,,
BIDIRECTIONAL_BFS,4,30,3863,0.007765984985762361,26,26,26,26,26,26,0,312,312,312,312,312,312,0,30,110.40384615384616,72.46153846153847,170.5,98.03846153846153,30,110.40384615384616,72.46153846153847,170.5,98.03846153846153
IDA_STAR,4,30,3863,0.007765984985762361,4,4,4,4,4,4,0,48,48,48,48,48,48,0,30,717.625,471,1108.25,637.25,30,717.625,471,1108.25,637.25
BFS,5,30,11706,0.0025627883136852894,10614.166666666666,10612,5217,16308,6305,14110,7805,127370,127344,62604,195696,75660,169320,93660,,,,,,,,,,
BIDIRECTIONAL_BFS,5,30,11706,0.0025627883136852894,137,137,137,137,137,137,0,1644,1644,1644,1644,1644,1644,0,30,77.45985401459853,46.02189781021898,102.99270072992701,56.97080291970803,30,77.45985401459853,46.02189781021898,102.99270072992701,56.97080291970803
IDA_STAR,5,30,11706,0.0025627883136852894,5.033333333333333,5,5,6,5,5,0,60.4,60,60,72,60,60,0,30,2122.3999999999996,1261,2822,1561,30,2122.3999999999996,1261,2822,1561
BFS,6,30,16410,0.0018281535648994515,25531.4,25647,18080,32815,22122,28825,6703,306376.8,307764,216960,393780,265464,345900,80436,,,,,,,,,,
BIDIRECTIONAL_BFS,6,30,16410,0.0018281535648994515,248,248,248,248,248,248,0,2976,2976,2976,2976,2976,2976,0,30,103.41532258064515,89.20161290322581,116.22983870967742,27.028225806451616,30,103.41532258064515,89.20161290322581,116.22983870967742,27.028225806451616
IDA_STAR,6,30,16410,0.0018281535648994515,7.766666666666667,7,6,16,6,9,3,93.2,84,72,192,72,108,36,30,3529.229166666667,3058.1666666666665,3799.1666666666665,741,30,3529.229166666667,3058.1666666666665,3799.1666666666665,741
BFS,7,30,8196,0.0036603221083455345,36387.63333333333,35958,33309,40710,34357,38453,4096,436651.6,431496,399708,488520,412284,461436,49152,,,,,,,,,,
BIDIRECTIONAL_BFS,7,30,8196,0.0036603221083455345,1070,1070,1070,1070,1070,1070,0,12840,12840,12840,12840,12840,12840,0,30,33.60560747663551,32.109345794392524,35.93738317757009,3.8280373831775663,30,33.60560747663551,32.109345794392524,35.93738317757009,3.8280373831775663
IDA_STAR,7,30,8196,0.0036603221083455345,9.733333333333333,9,7,18,8,10,2,116.8,108,84,216,96,120,24,30,3961.0555555555557,3668.1,4234.75,566.6500000000001,30,3961.0555555555557,3668.1,4234.75,566.6500000000001
BFS,8,30,351,0.08547008547008547,41309.433333333334,41324,41162,41461,41235,41360,125,495713.2,495888,493944,497532,494820,496320,1500,,,,,,,,,,
BIDIRECTIONAL_BFS,8,30,351,0.08547008547008547,1892,1892,1892,1892,1892,1892,0,22704,22704,22704,22704,22704,22704,0,30,21.841437632135307,21.794397463002113,21.86046511627907,0.0660676532769564,30,21.841437632135307,21.794397463002113,21.86046511627907,0.0660676532769564
IDA_STAR,8,30,351,0.08547008547008547,41.3,44,21,52,35,49,14,495.6,528,252,624,420,588,168,30,939.8977272727273,843.2244897959183,1178.1142857142856,334.8897959183673,30,939.8977272727273,843.2244897959183,1178.1142857142856,334.8897959183673
