algorithm,exactDepth,caseCount,medianElapsedMs,Q1ElapsedMs,Q3ElapsedMs,iqrElapsedMs,minElapsedMs,maxElapsedMs,zeroMsCaseCount,zeroMsCaseFraction,timerResolutionStatus
BFS,1,8,0,0,0,0,0,0,8,1,TIMER_RESOLUTION_LIMITED
BIDIRECTIONAL_BFS,1,8,0,0,0,0,0,1,7,0.875,TIMER_RESOLUTION_LIMITED
IDA_STAR,1,8,0,0,0,0,0,0,8,1,TIMER_RESOLUTION_LIMITED
BFS,2,8,1,1,1,0,1,1,0,0,OK
BIDIRECTIONAL_BFS,2,8,0,0,0,0,0,0,8,1,TIMER_RESOLUTION_LIMITED
IDA_STAR,2,8,0,0,0,0,0,0,8,1,TIMER_RESOLUTION_LIMITED
BFS,3,8,4.5,4,7,3,3,9,0,0,OK
BIDIRECTIONAL_BFS,3,8,0,0,0,0,0,1,7,0.875,TIMER_RESOLUTION_LIMITED
IDA_STAR,3,8,0,0,0,0,0,0,8,1,TIMER_RESOLUTION_LIMITED
BFS,4,8,41,29.5,42.5,13,13,46,0,0,OK
BIDIRECTIONAL_BFS,4,8,0.5,0,1,1,0,1,4,0.5,OK
IDA_STAR,4,8,0,0,0,0,0,0,8,1,TIMER_RESOLUTION_LIMITED
BFS,5,8,143,88,166,78,70,176,0,0,OK
BIDIRECTIONAL_BFS,5,8,2,2,2,0,2,2,0,0,OK
IDA_STAR,5,8,0,0,0,0,0,0,8,1,TIMER_RESOLUTION_LIMITED
BFS,6,8,303,258.5,330.5,72,198,351,0,0,OK
BIDIRECTIONAL_BFS,6,8,3,3,3,0,3,3,0,0,OK
IDA_STAR,6,8,0,0,0,0,0,0,8,1,TIMER_RESOLUTION_LIMITED
BFS,7,8,429,390.5,450,59.5,379,481,0,0,OK
BIDIRECTIONAL_BFS,7,8,12.5,12,13,1,12,17,0,0,OK
IDA_STAR,7,8,0,0,0,0,0,0,8,1,TIMER_RESOLUTION_LIMITED
BFS,8,8,467,443,476,33,433,486,0,0,OK
BIDIRECTIONAL_BFS,8,8,21.5,21,22,1,20,26,0,0,OK
IDA_STAR,8,8,1,1,1,0,1,1,0,0,OK
