schemaVersion,suiteId,seed,caseId,exactDepth,algorithm,repetitionIndex,status,solutionDepth,solutionMoves,nodesExpanded,nodesGenerated,limitReason,elapsedMs
1,phase5c-structural-depth1-v1,phase5c-structural-d1-v1,d1:C:6|X:1.0|Y:3.2|Z:1.0,1,BFS,0,SOLVED,1,D_CCW,4,48,,0
1,phase5c-structural-depth1-v1,phase5c-structural-d1-v1,d1:C:6|X:1.0|Y:3.2|Z:1.0,1,BIDIRECTIONAL_BFS,0,SOLVED,1,D_CCW,1,12,,0
1,phase5c-structural-depth1-v1,phase5c-structural-d1-v1,d1:C:6|X:1.0|Y:3.2|Z:1.0,1,IDA_STAR,0,SOLVED,1,D_CCW,1,12,,0
1,phase5c-structural-depth1-v1,phase5c-structural-d1-v1,d1:C:6|X:1.0|Y:1.2|Z:1.0,1,BIDIRECTIONAL_BFS,0,SOLVED,1,U_CW,1,12,,0
1,phase5c-structural-depth1-v1,phase5c-structural-d1-v1,d1:C:6|X:1.0|Y:1.2|Z:1.0,1,IDA_STAR,0,SOLVED,1,U_CW,1,12,,0
1,phase5c-structural-depth1-v1,phase5c-structural-d1-v1,d1:C:6|X:1.0|Y:1.2|Z:1.0,1,BFS,0,SOLVED,1,U_CW,1,12,,0
1,phase5c-structural-depth1-v1,phase5c-structural-d1-v1,d1:C:21|X:1.1|Y:0.0|Z:3.0,1,IDA_STAR,0,SOLVED,1,L_CW,1,12,,0
1,phase5c-structural-depth1-v1,phase5c-structural-d1-v1,d1:C:21|X:1.1|Y:0.0|Z:3.0,1,BFS,0,SOLVED,1,L_CW,11,132,,1
1,phase5c-structural-depth1-v1,phase5c-structural-d1-v1,d1:C:21|X:1.1|Y:0.0|Z:3.0,1,BIDIRECTIONAL_BFS,0,SOLVED,1,L_CW,1,12,,0
1,phase5c-structural-depth1-v1,phase5c-structural-d1-v1,d1:C:14|X:0.0|Y:1.0|Z:1.2,1,BFS,0,SOLVED,1,F_CW,5,60,,0
1,phase5c-structural-depth1-v1,phase5c-structural-d1-v1,d1:C:14|X:0.0|Y:1.0|Z:1.2,1,BIDIRECTIONAL_BFS,0,SOLVED,1,F_CW,1,12,,0
1,phase5c-structural-depth1-v1,phase5c-structural-d1-v1,d1:C:14|X:0.0|Y:1.0|Z:1.2,1,IDA_STAR,0,SOLVED,1,F_CW,1,12,,0
1,phase5c-structural-depth1-v1,phase5c-structural-d1-v1,d1:C:14|X:0.0|Y:1.0|Z:3.1,1,BIDIRECTIONAL_BFS,0,SOLVED,1,F_CCW,1,12,,0
1,phase5c-structural-depth1-v1,phase5c-structural-d1-v1,d1:C:14|X:0.0|Y:1.0|Z:3.1,1,IDA_STAR,0,SOLVED,1,F_CCW,1,12,,1
1,phase5c-structural-depth1-v1,phase5c-structural-d1-v1,d1:C:14|X:0.0|Y:1.0|Z:3.1,1,BFS,0,SOLVED,1,F_CCW,6,72,,0
