schemaVersion,suiteId,seed,caseId,exactDepth,algorithm,repetitionIndex,status,solutionDepth,solutionMoves,nodesExpanded,nodesGenerated,limitReason,elapsedMs
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:8|X:1.0|Y:0.1|Z:3.2,2,BFS,0,SOLVED,2,U_CCW B_CCW,29,348,,1
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:8|X:1.0|Y:0.1|Z:3.2,2,BIDIRECTIONAL_BFS,0,SOLVED,2,U_CCW B_CCW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:8|X:1.0|Y:0.1|Z:3.2,2,IDA_STAR,0,SOLVED,2,U_CCW B_CCW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:11|X:3.2|Y:3.1|Z:3.0,2,BIDIRECTIONAL_BFS,0,SOLVED,2,U_CCW L_CCW,2,24,,1
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:11|X:3.2|Y:3.1|Z:3.0,2,IDA_STAR,0,SOLVED,2,U_CCW L_CCW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:11|X:3.2|Y:3.1|Z:3.0,2,BFS,0,SOLVED,2,U_CCW L_CCW,33,396,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:8|X:1.0|Y:2.2|Z:3.1,2,IDA_STAR,0,SOLVED,2,U_CW F_CCW,2,24,,1
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:8|X:1.0|Y:2.2|Z:3.1,2,BFS,0,SOLVED,2,U_CW F_CCW,17,204,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:8|X:1.0|Y:2.2|Z:3.1,2,BIDIRECTIONAL_BFS,0,SOLVED,2,U_CW F_CCW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:19|X:2.1|Y:2.1|Z:1.0,2,BFS,0,SOLVED,2,L_CW D_CW,110,1320,,2
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:19|X:2.1|Y:2.1|Z:1.0,2,BIDIRECTIONAL_BFS,0,SOLVED,2,L_CW D_CW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:19|X:2.1|Y:2.1|Z:1.0,2,IDA_STAR,0,SOLVED,2,L_CW D_CW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:20|X:1.1|Y:2.0|Z:0.2,2,BIDIRECTIONAL_BFS,0,SOLVED,2,L_CW B_CCW,2,24,,1
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:20|X:1.1|Y:2.0|Z:0.2,2,IDA_STAR,0,SOLVED,2,L_CW B_CCW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:20|X:1.1|Y:2.0|Z:0.2,2,BFS,0,SOLVED,2,L_CW B_CCW,115,1380,,2
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:12|X:2.0|Y:0.1|Z:2.2,2,IDA_STAR,0,SOLVED,2,F_CW D_CW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:12|X:2.0|Y:0.1|Z:2.2,2,BFS,0,SOLVED,2,F_CW D_CW,52,624,,1
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:12|X:2.0|Y:0.1|Z:2.2,2,BIDIRECTIONAL_BFS,0,SOLVED,2,F_CW D_CW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:8|X:1.0|Y:2.1|Z:0.2,2,BFS,0,SOLVED,2,D_CW F_CW,34,408,,1
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:8|X:1.0|Y:2.1|Z:0.2,2,BIDIRECTIONAL_BFS,0,SOLVED,2,D_CW F_CW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:8|X:1.0|Y:2.1|Z:0.2,2,IDA_STAR,0,SOLVED,2,D_CW F_CW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:20|X:3.1|Y:2.0|Z:0.1,2,BIDIRECTIONAL_BFS,0,SOLVED,2,R_CCW F_CCW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:20|X:3.1|Y:2.0|Z:0.1,2,IDA_STAR,0,SOLVED,2,R_CCW F_CCW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:20|X:3.1|Y:2.0|Z:0.1,2,BFS,0,SOLVED,2,R_CCW F_CCW,103,1236,,2
