schemaVersion,suiteId,seed,caseId,exactDepth,algorithm,repetitionIndex,status,solutionDepth,solutionMoves,nodesExpanded,nodesGenerated,limitReason,elapsedMs
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.1,1,BFS,0,SOLVED,1,B_CW,7,84,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.1,1,BIDIRECTIONAL_BFS,0,SOLVED,1,B_CW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.1,1,IDA_STAR,0,SOLVED,1,B_CW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.1,1,BIDIRECTIONAL_BFS,1,SOLVED,1,B_CW,1,12,,1
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.1,1,IDA_STAR,1,SOLVED,1,B_CW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.1,1,BFS,1,SOLVED,1,B_CW,7,84,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.1,1,IDA_STAR,2,SOLVED,1,B_CW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.1,1,BFS,2,SOLVED,1,B_CW,7,84,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.1,1,BIDIRECTIONAL_BFS,2,SOLVED,1,B_CW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.1,1,BFS,3,SOLVED,1,B_CW,7,84,,1
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.1,1,BIDIRECTIONAL_BFS,3,SOLVED,1,B_CW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.1,1,IDA_STAR,3,SOLVED,1,B_CW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.1,1,BIDIRECTIONAL_BFS,4,SOLVED,1,B_CW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.1,1,IDA_STAR,4,SOLVED,1,B_CW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.1,1,BFS,4,SOLVED,1,B_CW,7,84,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.2,1,BIDIRECTIONAL_BFS,0,SOLVED,1,F_CW,1,12,,1
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.2,1,IDA_STAR,0,SOLVED,1,F_CW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.2,1,BFS,0,SOLVED,1,F_CW,5,60,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.2,1,IDA_STAR,1,SOLVED,1,F_CW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.2,1,BFS,1,SOLVED,1,F_CW,5,60,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.2,1,BIDIRECTIONAL_BFS,1,SOLVED,1,F_CW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.2,1,BFS,2,SOLVED,1,F_CW,5,60,,1
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.2,1,BIDIRECTIONAL_BFS,2,SOLVED,1,F_CW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.2,1,IDA_STAR,2,SOLVED,1,F_CW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.2,1,BIDIRECTIONAL_BFS,3,SOLVED,1,F_CW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.2,1,IDA_STAR,3,SOLVED,1,F_CW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.2,1,BFS,3,SOLVED,1,F_CW,5,60,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.2,1,IDA_STAR,4,SOLVED,1,F_CW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.2,1,BFS,4,SOLVED,1,F_CW,5,60,,1
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:1.2,1,BIDIRECTIONAL_BFS,4,SOLVED,1,F_CW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:3.2,1,IDA_STAR,0,SOLVED,1,B_CCW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:3.2,1,BFS,0,SOLVED,1,B_CCW,8,96,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:3.2,1,BIDIRECTIONAL_BFS,0,SOLVED,1,B_CCW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:3.2,1,BFS,1,SOLVED,1,B_CCW,8,96,,1
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:3.2,1,BIDIRECTIONAL_BFS,1,SOLVED,1,B_CCW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:3.2,1,IDA_STAR,1,SOLVED,1,B_CCW,1,12,,0
1,phase5c-timing-v1,phase5c-timing-v1,d1:C:14|X:0.0|Y:1.0|Z:3.2,1,BIDIRECTIONAL_BFS,2,SOLVED,1,B_CCW,1,12,,0
